Trap,Site,Treatment,Pair_number,Plot_number,trap,Date_installed,Collection_date,days,Analyzers,Araneae_other,Entomobryomorpha,Poduromorpha,Symphypleona,Formicidae,Isopoda,Amphipoda,Acari,Gryllidae,Forfuculidae,Achilidae,Blattidae,Phoridae,Sciaridae,Ceraphronidae,Miridae,Staphilinidae,Bostrichidae,Mymaridae,Tettrigidae,Diapriidae,Proctotrupidae,Empididae,Tupilidae,Dolichopodidae,Eupelmidae,Mycetophilidae,Cryptophagidae,Sphaeroceridae,Ichneumonidae,Muscidae,Pentatomidae,Carabidae,Cecidomyiidae,Scarabaeidae,Meinertellidae,total_abundance
1GA,Talatakely,G,1,G1,A,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,11,4,0,0,0,3,2,0,0,0,11,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,50
1GB,Talatakely,G,1,G1,B,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1GC,Talatakely,G,1,G1,C,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",5,5,1,3,4,0,8,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1GD,Talatakely,G,1,G1,D,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",4,3,1,4,8,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1GE,Talatakely,G,1,G1,E,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",4,4,2,2,9,0,0,0,0,0,0,1,13,0,1,3,10,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1NGA,Talatakely,NG,1,NG1,A,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9
1NGB,Talatakely,NG,1,NG1,B,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,2,0,0,2,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1NGC,Talatakely,NG,1,NG1,C,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,2,4,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,25
1NGD,Talatakely,NG,1,NG1,D,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",0,4,0,3,3,0,0,3,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23
1NGE,Talatakely,NG,1,NG1,E,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,5,0,3,0,0,3,2,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25
2GA,Talatakely,G,2,G2,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",2,0,0,0,1,2,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2GB,Talatakely,G,2,G2,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2NGA,Talatakely,NG,2,NG2,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",3,15,5,3,9,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2NGB,Talatakely,NG,2,NG2,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",1,6,4,3,5,0,36,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
3GA,Talatakely,G,3,G3,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",0,14,0,0,10,2,23,6,2,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,70
3GB,Talatakely,G,3,G3,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",1,1,0,0,6,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3NGA,Talatakely,NG,3,NG3,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",5,8,2,2,3,1,12,0,5,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
3NGB,Talatakely,NG,3,NG3,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",1,3,0,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4GA,Talatakely,G,4,G4,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",0,0,0,2,6,0,7,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
4GB,Talatakely,G,4,G4,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",3,0,0,0,11,3,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
4NGA,Talatakely,NG,4,NG4,A,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",0,4,0,0,13,2,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35
4NGB,Talatakely,NG,4,NG4,B,6/12/24,6/19/24,7,"Emile,Rinah, Kerry",1,4,0,2,4,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5GA,Vohiparara,G,5,G5,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",3,9,15,11,48,0,0,1,0,0,0,0,8,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
5GB,Vohiparara,G,5,G5,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,6,0,3,0,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5NGA,Vohiparara,NG,5,NG5,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",5,6,2,6,0,0,0,0,6,0,0,0,12,0,2,2,5,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,56
5NGB,Vohiparara,NG,5,NG5,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,5,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6GA,Vohiparara,G,6,G6,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,0,0,0,6,0,5,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
6GB,Vohiparara,G,6,G6,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",3,0,0,0,7,0,11,0,4,0,0,2,6,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,48
6NGA,Vohiparara,NG,6,NG6,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,,,,3,1,1,,0,0,0,0,0,18
6NGB,Vohiparara,NG,6,NG6,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,1,0,0,13,0,0,0,3,0,0,1,0,1,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
7GA,Vohiparara,G,7,G7,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",3,0,0,0,6,0,4,0,0,0,0,2,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7GB,Vohiparara,G,7,G7,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,3,0,0,9,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7NGA,Vohiparara,NG,7,NG7,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",1,3,0,0,5,1,5,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
7NGB,Vohiparara,NG,7,NG7,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,4,0,0,7,0,0,0,3,0,0,1,6,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27
8GA,Vohiparara,G,8,G8,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",1,1,0,5,2,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
8GB,Vohiparara,G,8,G8,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",0,0,0,0,3,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
8NGA,Vohiparara,NG,8,NG8,A,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",3,1,0,3,5,4,3,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
8NGB,Vohiparara,NG,8,NG8,B,6/13/24,6/20/24,7,"Emile,Rinah, Kerry",2,1,2,4,7,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,,,,,,,,,,66,124,52,64,229,16,136,24,65,3,1,16,113,19,4,21,97,2,10,5,3,2,9,9,1,1,6,3,1,1,9,1,1,3,1,1,