subplotid,Site,Pair,Treatment,plotnumber,seedlingplot,Date_surveyed,notes,Vilonanala(herbbamboograss),Velatra(herb),Velatrafoana(herb),Orchidae(herb),Vine_spp1,Guava,Foananasity,Apanga,Kalafambakaka,Tavelona(bamboo),Ranjopody,Mazambory,Rohilambo,Fanikara,Tsimbolovola(bamboo),Rahiaka,Hazotoho,Rotra,Hazomby,Ramilevina,Kimbaletaka,Voanananala,Tavolo,Totalstems,totalNONguava
1GA,Talatakely,1,G,1G,A,"45,458",,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1GB,Talatakely,1,G,1G,B,"45,458",,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1GC,Talatakely,1,G,1G,C,"45,458",,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1GD,Talatakely,1,G,1G,D,"45,458",,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1NGA,Talatakely,1,NG,1NG,A,"45,458",,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6
1NGB,Talatakely,1,NG,1NG,B,"45,458",,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1NGC,Talatakely,1,NG,1NG,C,"45,458",,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1NGD,Talatakely,1,NG,1NG,D,"45,458",,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2GA,Talatakely,2,G,2G,A,"45,458",,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
2GB,Talatakely,2,G,2G,B,"45,458",,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2GC,Talatakely,2,G,2G,C,"45,458",,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2
2GD,Talatakely,2,G,2G,D,"45,458",,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4
2NGA,Talatakely,2,NG,2NG,A,"45,458",,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2NGB,Talatakely,2,NG,2NG,B,"45,458",,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
2NGC,Talatakely,2,NG,2NG,C,"45,458",,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4
2NGD,Talatakely,2,NG,2NG,D,"45,458",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2
3GA,Talatakely,3,G,3G,A,"45,458",,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3GB,Talatakely,3,G,3G,B,"45,458",,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
3GC,Talatakely,3,G,3G,C,"45,458",,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2
3GD,Talatakely,3,G,3G,D,"45,458",all dead seedlings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NGA,Talatakely,3,NG,3NG,A,"45,458",,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
3NGB,Talatakely,3,NG,3NG,B,"45,458",,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
3NGC,Talatakely,3,NG,3NG,C,"45,458",,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3NGD,Talatakely,3,NG,3NG,D,"45,458",,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
4GA,Talatakely,4,G,4G,A,"45,458",,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1
4GB,Talatakely,4,G,4G,B,"45,458",,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4GC,Talatakely,4,G,4G,C,"45,458",,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
4GD,Talatakely,4,G,4G,D,"45,458",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
4NGA,Talatakely,4,NG,4NG,A,"45,458",,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4NGB,Talatakely,4,NG,4NG,B,"45,458",,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
4NGC,Talatakely,4,NG,4NG,C,"45,458",,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4NGD,Talatakely,4,NG,4NG,D,"45,458",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
5GA,Vohiparara,5,G,5G,A,"45,463",,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5GB,Vohiparara,5,G,5G,B,"45,463",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GC,Vohiparara,5,G,5G,C,"45,463",,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
5GD,Vohiparara,5,G,5G,D,"45,463",,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
5NGA,Vohiparara,5,NG,5NG,A,"45,463",,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7
5NGB,Vohiparara,5,NG,5NG,B,"45,463",,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5
5NGC,Vohiparara,5,NG,5NG,C,"45,463",,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16
5NGD,Vohiparara,5,NG,5NG,D,"45,463",,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,12
6GA,Vohiparara,6,G,6G,A,"45,463",,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
6GB,Vohiparara,6,G,6G,B,"45,463",,4,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
6GC,Vohiparara,6,G,6G,C,"45,463",,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9
6GD,Vohiparara,6,G,6G,D,"45,463",,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
6NGA,Vohiparara,6,NG,6NG,A,"45,463",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
6NGB,Vohiparara,6,NG,6NG,B,"45,463",,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5
6NGC,Vohiparara,6,NG,6NG,C,"45,463",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4
6NGD,Vohiparara,6,NG,6NG,D,"45,463",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7GA,Vohiparara,7,G,7G,A,"45,463",,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7GB,Vohiparara,7,G,7G,B,"45,463",,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
7GC,Vohiparara,7,G,7G,C,"45,463",,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
7GD,Vohiparara,7,G,7G,D,"45,463",,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1
7NGA,Vohiparara,7,NG,7NG,A,"45,463",,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,11
7NGB,Vohiparara,7,NG,7NG,B,"45,463",,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,12
7NGC,Vohiparara,7,NG,7NG,C,"45,463",,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14
7NGD,Vohiparara,7,NG,7NG,D,"45,463",,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
8GA,Vohiparara,8,G,8G,A,"45,463",,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
8GB,Vohiparara,8,G,8G,B,"45,463",,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,4
8GC,Vohiparara,8,G,8G,C,"45,463",,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
8GD,Vohiparara,8,G,8G,D,"45,463",,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,7
8NGA,Vohiparara,8,NG,8NG,A,"45,463",,3,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,9,9
8NGB,Vohiparara,8,NG,8NG,B,"45,463",,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,4
8NGC,Vohiparara,8,NG,8NG,C,"45,463",,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
8NGD,Vohiparara,8,NG,8NG,D,"45,463",,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,4,4
